seo_priority,keyword,avg_monthly_searches,category,subcategory,url_path,description,competition,bid_low,bid_high
P3,Truck Payload Calculator,50.0,Automotive,Payload & Towing,/truck-payload-calculator/,Estimate remaining truck payload after passengers and cargo.,,,
P3,Used Car Value Calculator,50.0,Automotive,Car Value,/used-car-value-calculator/,"Estimate an illustrative used-car value using age, mileage and condition adjustments.",,,
P3,Wheel Offset Calculator,50.0,Automotive,Tires & Wheels,/wheel-offset-calculator/,Estimate wheel offset from wheel width and backspacing.,,,
P3,Board Foot Calculator,50.0,Construction,Roofing & Framing,/board-foot-calculator/,"Calculate lumber board feet from thickness, width, length and quantity.",低,,
P3,Concrete Volume Calculator,50.0,Construction,Concrete & Area,/concrete-volume-calculator/,Calculate concrete volume in cubic feet and cubic yards for a rectangular slab.,,,
P3,Deck Board Calculator,50.0,Construction,Flooring & Tile,/deck-board-calculator/,"Estimate deck board count from deck width, board width and gap.",,,
P3,Flooring Calculator,50.0,Construction,Flooring & Tile,/flooring-calculator/,Estimate flooring coverage including a waste allowance.,,,
P3,Geodesic Dome Calculator,50.0,Construction,Domes & Materials,/geodesic-dome-calculator/,Estimate hemisphere surface area and enclosed volume from dome diameter.,,,
P3,Rafter Length Calculator,50.0,Construction,Roofing & Framing,/rafter-length-calculator/,"Estimate common rafter length from horizontal run, rise and overhang.",低,,
P3,Roof Pitch Calculator,50.0,Construction,Roofing & Framing,/roof-pitch-calculator/,"Calculate roof pitch, slope percentage and angle from rise and run.",低,,
P3,Square Footage Calculator,50.0,Construction,Concrete & Area,/square-footage-calculator/,Calculate rectangular area in square feet.,低,,
P3,Tile Calculator,50.0,Construction,Flooring & Tile,/tile-calculator/,"Estimate tile quantity from project area, tile dimensions and waste allowance.",低,,
P3,Acres to Hectares Calculator,50.0,Conversion,area,/acres-to-hectares-calculator/,Convert acres to hectares with a direct unit conversion factor.,,,
P3,Acres to Square Feet Calculator,50.0,Conversion,area,/acres-to-sq-feet-calculator/,Convert acres to square feet with a direct unit conversion factor.,低,,
P3,Acres to Square Meters Calculator,50.0,Conversion,area,/acres-to-sq-meters-calculator/,Convert acres to square meters with a direct unit conversion factor.,,,
P3,Acres to Square Miles Calculator,50.0,Conversion,area,/acres-to-sq-miles-calculator/,Convert acres to square miles with a direct unit conversion factor.,,,
P3,Bar to Psi Calculator,50.0,Conversion,pressure,/bar-to-psi-calculator/,Convert bar to psi with a direct unit conversion factor.,低,,
P3,Bits to Bytes Calculator,50.0,Conversion,data storage,/bits-to-bytes-calculator/,Convert bits to bytes with a direct unit conversion factor.,,,
P3,Bytes to Gigabytes Calculator,50.0,Conversion,data storage,/bytes-to-gigabytes-calculator/,Convert bytes to gigabytes with a direct unit conversion factor.,,,
P3,Bytes to Megabytes Calculator,50.0,Conversion,data storage,/bytes-to-megabytes-calculator/,Convert bytes to megabytes with a direct unit conversion factor.,,,
P3,Calories to Joules Calculator,50.0,Conversion,energy,/calories-to-joules-calculator/,Convert calories to joules with a direct unit conversion factor.,低,,
P3,Calories to Kilocalories Calculator,50.0,Conversion,energy,/calories-to-kilocalories-calculator/,Convert calories to kilocalories with a direct unit conversion factor.,,,
P3,Calories to Kilojoules Calculator,50.0,Conversion,energy,/calories-to-kilojoules-calculator/,Convert calories to kilojoules with a direct unit conversion factor.,低,,
P3,Centimeters to Feet Calculator,50.0,Conversion,length,/centimeters-to-feet-calculator/,Convert centimeters to feet with a direct unit conversion factor.,低,,
P3,Centimeters to Inches Calculator,50.0,Conversion,length,/centimeters-to-inches-calculator/,Convert centimeters to inches with a direct unit conversion factor.,低,,
P3,Centimeters to Kilometers Calculator,50.0,Conversion,length,/centimeters-to-kilometers-calculator/,Convert centimeters to kilometers with a direct unit conversion factor.,低,,
P3,Centimeters to Meters Calculator,50.0,Conversion,length,/centimeters-to-meters-calculator/,Convert centimeters to meters with a direct unit conversion factor.,低,,
P3,Centimeters to Millimeters Calculator,50.0,Conversion,length,/centimeters-to-millimeters-calculator/,Convert centimeters to millimeters with a direct unit conversion factor.,低,,
P3,Cubic Feet to Cubic Meters Calculator,50.0,Conversion,volume,/cu-feet-to-cu-meters-calculator/,Convert cubic feet to cubic meters with a direct unit conversion factor.,,,
P3,Cubic Feet to Liters Calculator,50.0,Conversion,volume,/cu-feet-to-liters-calculator/,Convert cubic feet to liters with a direct unit conversion factor.,,,
P3,Cubic Meters to Cubic Feet Calculator,50.0,Conversion,volume,/cu-meters-to-cu-feet-calculator/,Convert cubic meters to cubic feet with a direct unit conversion factor.,,,
P3,Decimeters to Centimeters Calculator,50.0,Conversion,length,/decimeters-to-centimeters-calculator/,Convert decimeters to centimeters with a direct unit conversion factor.,,,
P3,Decimeters to Meters Calculator,50.0,Conversion,length,/decimeters-to-meters-calculator/,Convert decimeters to meters with a direct unit conversion factor.,,,
P3,Feet to Centimeters Calculator,50.0,Conversion,length,/feet-to-centimeters-calculator/,Convert feet to centimeters with a direct unit conversion factor.,低,,
P3,Feet to Inches Calculator,50.0,Conversion,length,/feet-to-inches-calculator/,Convert feet to inches with a direct unit conversion factor.,低,,
P3,Feet to Miles Calculator,50.0,Conversion,length,/feet-to-miles-calculator/,Convert feet to miles with a direct unit conversion factor.,,,
P3,Feet to Yards Calculator,50.0,Conversion,length,/feet-to-yards-calculator/,Convert feet to yards with a direct unit conversion factor.,低,,
P3,Gallons to Cups Calculator,50.0,Conversion,volume,/gallons-to-cups-calculator/,Convert gallons to cups with a direct unit conversion factor.,,,
P3,Gallons to Liters Calculator,50.0,Conversion,volume,/gallons-to-liters-calculator/,Convert gallons to liters with a direct unit conversion factor.,低,,
P3,Gallons to Quarts Calculator,50.0,Conversion,volume,/gallons-to-quarts-calculator/,Convert gallons to quarts with a direct unit conversion factor.,,,
P3,Gigabytes to Bytes Calculator,50.0,Conversion,data storage,/gigabytes-to-bytes-calculator/,Convert gigabytes to bytes with a direct unit conversion factor.,低,,
P3,Gigabytes to Megabytes Calculator,50.0,Conversion,data storage,/gigabytes-to-megabytes-calculator/,Convert gigabytes to megabytes with a direct unit conversion factor.,,,
P3,Grains to Grams Calculator,50.0,Conversion,weight,/grains-to-grams-calculator/,Convert grains to grams with a direct unit conversion factor.,低,,
P3,Grains to Ounces Calculator,50.0,Conversion,weight,/grains-to-ounces-calculator/,Convert grains to ounces with a direct unit conversion factor.,,,
P3,Grams to Grains Calculator,50.0,Conversion,weight,/grams-to-grains-calculator/,Convert grams to grains with a direct unit conversion factor.,低,,
P3,Grams to Kilograms Calculator,50.0,Conversion,weight,/grams-to-kilograms-calculator/,Convert grams to kilograms with a direct unit conversion factor.,,,
P3,Grams to Micrograms Calculator,50.0,Conversion,weight,/grams-to-micrograms-calculator/,Convert grams to micrograms with a direct unit conversion factor.,低,,
P3,Grams to Milligrams Calculator,50.0,Conversion,weight,/grams-to-milligrams-calculator/,Convert grams to milligrams with a direct unit conversion factor.,低,,
P3,Grams to Ounces Calculator,50.0,Conversion,weight,/grams-to-ounces-calculator/,Convert grams to ounces with a direct unit conversion factor.,低,,
P3,Grams to Pounds Calculator,50.0,Conversion,weight,/grams-to-pounds-calculator/,Convert grams to pounds with a direct unit conversion factor.,低,,
P3,Grams to Troy Ounces Calculator,50.0,Conversion,weight,/grams-to-troy-ounces-calculator/,Convert grams to troy ounces with a direct unit conversion factor.,,,
P3,Hectares to Acres Calculator,50.0,Conversion,area,/hectares-to-acres-calculator/,Convert hectares to acres with a direct unit conversion factor.,低,,
P3,Horsepower to Kilowatts Calculator,50.0,Conversion,power,/horsepower-to-kilowatts-calculator/,Convert horsepower to kilowatts with a direct unit conversion factor.,,,
P3,Inches to Centimeters Calculator,50.0,Conversion,length,/inches-to-centimeters-calculator/,Convert inches to centimeters with a direct unit conversion factor.,低,,
P3,Inches to Meters Calculator,50.0,Conversion,length,/inches-to-meters-calculator/,Convert inches to meters with a direct unit conversion factor.,低,,
P3,Inches to Miles Calculator,50.0,Conversion,length,/inches-to-miles-calculator/,Convert inches to miles with a direct unit conversion factor.,,,
P3,Inches to Millimeters Calculator,50.0,Conversion,length,/inches-to-millimeters-calculator/,Convert inches to millimeters with a direct unit conversion factor.,低,,
P3,Inches to Yards Calculator,50.0,Conversion,length,/inches-to-yards-calculator/,Convert inches to yards with a direct unit conversion factor.,,,
P3,Joules to Calories Calculator,50.0,Conversion,energy,/joules-to-calories-calculator/,Convert joules to calories with a direct unit conversion factor.,低,,
P3,Kilobytes to Gigabytes Calculator,50.0,Conversion,data storage,/kilobytes-to-gigabytes-calculator/,Convert kilobytes to gigabytes with a direct unit conversion factor.,,,
P3,Kilocalories to Calories Calculator,50.0,Conversion,energy,/kilocalories-to-calories-calculator/,Convert kilocalories to calories with a direct unit conversion factor.,,,
P3,Kilograms to Grams Calculator,50.0,Conversion,weight,/kilograms-to-grams-calculator/,Convert kilograms to grams with a direct unit conversion factor.,低,,
P3,Kilograms to Ounces Calculator,50.0,Conversion,weight,/kilograms-to-ounces-calculator/,Convert kilograms to ounces with a direct unit conversion factor.,,,
P3,Kilograms to Pounds Calculator,50.0,Conversion,weight,/kilograms-to-pounds-calculator/,Convert kilograms to pounds with a direct unit conversion factor.,低,,
P3,Kilograms to Stones Calculator,50.0,Conversion,weight,/kilograms-to-stones-calculator/,Convert kilograms to stones with a direct unit conversion factor.,,,
P3,Kilojoules to Calories Calculator,50.0,Conversion,energy,/kilojoules-to-calories-calculator/,Convert kilojoules to calories with a direct unit conversion factor.,低,,
P3,Kilometers Per Hour to Miles Per Hour Calculator,50.0,Conversion,speed,/kilometers-per-hour-to-miles-per-hour-calculator/,Convert kilometers per hour to miles per hour with a direct unit conversion factor.,低,,
P3,Kilometers to Feet Calculator,50.0,Conversion,length,/kilometers-to-feet-calculator/,Convert kilometers to feet with a direct unit conversion factor.,,,
P3,Kilometers to Meters Calculator,50.0,Conversion,length,/kilometers-to-meters-calculator/,Convert kilometers to meters with a direct unit conversion factor.,低,,
P3,Kilometers to Miles Calculator,50.0,Conversion,length,/kilometers-to-miles-calculator/,Convert kilometers to miles with a direct unit conversion factor.,低,,
P3,Kilowatts to Horsepower Calculator,50.0,Conversion,power,/kilowatts-to-horsepower-calculator/,Convert kilowatts to horsepower with a direct unit conversion factor.,,,
P3,Kilowatts to Watts Calculator,50.0,Conversion,power,/kilowatts-to-watts-calculator/,Convert kilowatts to watts with a direct unit conversion factor.,,,
P3,Knots to Mach Calculator,50.0,Conversion,speed,/knots-to-mach-calculator/,Convert knots to mach with a direct unit conversion factor.,,,
P3,Knots to Miles Per Hour Calculator,50.0,Conversion,speed,/knots-to-miles-per-hour-calculator/,Convert knots to miles per hour with a direct unit conversion factor.,低,,
P3,Liters to Cubic Inches Calculator,50.0,Conversion,volume,/liters-to-cu-inches-calculator/,Convert liters to cubic inches with a direct unit conversion factor.,低,,
P3,Liters to Cubic Meters Calculator,50.0,Conversion,volume,/liters-to-cu-meters-calculator/,Convert liters to cubic meters with a direct unit conversion factor.,低,,
P3,Liters to Gallons Calculator,50.0,Conversion,volume,/liters-to-gallons-calculator/,Convert liters to gallons with a direct unit conversion factor.,低,,
P3,Liters to Milliliters Calculator,50.0,Conversion,volume,/liters-to-milliliters-calculator/,Convert liters to milliliters with a direct unit conversion factor.,,,
P3,Mach to Knots Calculator,50.0,Conversion,speed,/mach-to-knots-calculator/,Convert mach to knots with a direct unit conversion factor.,,,
P3,Megabytes to Gigabytes Calculator,50.0,Conversion,data storage,/megabytes-to-gigabytes-calculator/,Convert megabytes to gigabytes with a direct unit conversion factor.,,,
P3,Meters to Centimeters Calculator,50.0,Conversion,length,/meters-to-centimeters-calculator/,Convert meters to centimeters with a direct unit conversion factor.,低,,
P3,Meters to Feet Calculator,50.0,Conversion,length,/meters-to-feet-calculator/,Convert meters to feet with a direct unit conversion factor.,低,,
P3,Meters to Inches Calculator,50.0,Conversion,length,/meters-to-inches-calculator/,Convert meters to inches with a direct unit conversion factor.,低,,
P3,Meters to Kilometers Calculator,50.0,Conversion,length,/meters-to-kilometers-calculator/,Convert meters to kilometers with a direct unit conversion factor.,低,,
P3,Meters to Miles Calculator,50.0,Conversion,length,/meters-to-miles-calculator/,Convert meters to miles with a direct unit conversion factor.,,,
P3,Meters to Millimeters Calculator,50.0,Conversion,length,/meters-to-millimeters-calculator/,Convert meters to millimeters with a direct unit conversion factor.,,,
P3,Meters to Yards Calculator,50.0,Conversion,length,/meters-to-yards-calculator/,Convert meters to yards with a direct unit conversion factor.,低,,
P3,Micrograms to Grams Calculator,50.0,Conversion,weight,/micrograms-to-grams-calculator/,Convert micrograms to grams with a direct unit conversion factor.,低,,
P3,Micrograms to Milligrams Calculator,50.0,Conversion,weight,/micrograms-to-milligrams-calculator/,Convert micrograms to milligrams with a direct unit conversion factor.,,,
P3,Miles Per Hour to Kilometers Per Hour Calculator,50.0,Conversion,speed,/miles-per-hour-to-kilometers-per-hour-calculator/,Convert miles per hour to kilometers per hour with a direct unit conversion factor.,,,
P3,Miles to Kilometers Calculator,50.0,Conversion,length,/miles-to-kilometers-calculator/,Convert miles to kilometers with a direct unit conversion factor.,低,,
P3,Miles to Meters Calculator,50.0,Conversion,length,/miles-to-meters-calculator/,Convert miles to meters with a direct unit conversion factor.,低,,
P3,Miles to Nautical Miles Calculator,50.0,Conversion,length,/miles-to-nautical-miles-calculator/,Convert miles to nautical miles with a direct unit conversion factor.,,,
P3,Milligrams to Grams Calculator,50.0,Conversion,weight,/milligrams-to-grams-calculator/,Convert milligrams to grams with a direct unit conversion factor.,低,,
P3,Milligrams to Micrograms Calculator,50.0,Conversion,weight,/milligrams-to-micrograms-calculator/,Convert milligrams to micrograms with a direct unit conversion factor.,,,
P3,Milligrams to Ounces Calculator,50.0,Conversion,weight,/milligrams-to-ounces-calculator/,Convert milligrams to ounces with a direct unit conversion factor.,,,
P3,Milliliters to Liters Calculator,50.0,Conversion,volume,/milliliters-to-liters-calculator/,Convert milliliters to liters with a direct unit conversion factor.,低,,
P3,Millimeters to Centimeters Calculator,50.0,Conversion,length,/millimeters-to-centimeters-calculator/,Convert millimeters to centimeters with a direct unit conversion factor.,低,,
P3,Millimeters to Feet Calculator,50.0,Conversion,length,/millimeters-to-feet-calculator/,Convert millimeters to feet with a direct unit conversion factor.,低,,
P3,Millimeters to Inches Calculator,50.0,Conversion,length,/millimeters-to-inches-calculator/,Convert millimeters to inches with a direct unit conversion factor.,低,,
P3,Millimeters to Meters Calculator,50.0,Conversion,length,/millimeters-to-meters-calculator/,Convert millimeters to meters with a direct unit conversion factor.,低,,
P3,Mils to Inches Calculator,50.0,Conversion,length,/mils-to-inches-calculator/,Convert mils to inches with a direct unit conversion factor.,,,
P3,Nanometers to Meters Calculator,50.0,Conversion,length,/nanometers-to-meters-calculator/,Convert nanometers to meters with a direct unit conversion factor.,低,,
P3,Nanometers to Millimeters Calculator,50.0,Conversion,length,/nanometers-to-millimeters-calculator/,Convert nanometers to millimeters with a direct unit conversion factor.,,,
P3,Nautical Miles to Kilometers Calculator,50.0,Conversion,length,/nautical-miles-to-kilometers-calculator/,Convert nautical miles to kilometers with a direct unit conversion factor.,低,,
P3,Nautical Miles to Miles Calculator,50.0,Conversion,length,/nautical-miles-to-miles-calculator/,Convert nautical miles to miles with a direct unit conversion factor.,低,,
P3,Ounces to Grams Calculator,50.0,Conversion,weight,/ounces-to-grams-calculator/,Convert ounces to grams with a direct unit conversion factor.,低,,
P3,Ounces to Pounds Calculator,50.0,Conversion,weight,/ounces-to-pounds-calculator/,Convert ounces to pounds with a direct unit conversion factor.,低,,
P3,Pounds to Grams Calculator,50.0,Conversion,weight,/pounds-to-grams-calculator/,Convert pounds to grams with a direct unit conversion factor.,,,
P3,Pounds to Kilograms Calculator,50.0,Conversion,weight,/pounds-to-kilograms-calculator/,Convert pounds to kilograms with a direct unit conversion factor.,低,,
P3,Pounds to Ounces Calculator,50.0,Conversion,weight,/pounds-to-ounces-calculator/,Convert pounds to ounces with a direct unit conversion factor.,低,,
P3,Psi to Bar Calculator,50.0,Conversion,pressure,/psi-to-bar-calculator/,Convert psi to bar with a direct unit conversion factor.,低,,
P3,Psi to Kilopascals Calculator,50.0,Conversion,pressure,/psi-to-kilopascals-calculator/,Convert psi to kilopascals with a direct unit conversion factor.,,,
P3,Psi to Ksi Calculator,50.0,Conversion,pressure,/psi-to-ksi-calculator/,Convert psi to ksi with a direct unit conversion factor.,,,
P3,Quarts to Cups Calculator,50.0,Conversion,volume,/quarts-to-cups-calculator/,Convert quarts to cups with a direct unit conversion factor.,,,
P3,Quarts to Liters Calculator,50.0,Conversion,volume,/quarts-to-liters-calculator/,Convert quarts to liters with a direct unit conversion factor.,,,
P3,Square Feet to Acres Calculator,50.0,Conversion,area,/sq-feet-to-acres-calculator/,Convert square feet to acres with a direct unit conversion factor.,低,,
P3,Square Feet to Square Meters Calculator,50.0,Conversion,area,/sq-feet-to-sq-meters-calculator/,Convert square feet to square meters with a direct unit conversion factor.,低,,
P3,Square Feet to Square Yards Calculator,50.0,Conversion,area,/sq-feet-to-sq-yards-calculator/,Convert square feet to square yards with a direct unit conversion factor.,,,
P3,Square Inches to Square Feet Calculator,50.0,Conversion,area,/sq-inches-to-sq-feet-calculator/,Convert square inches to square feet with a direct unit conversion factor.,低,,
P3,Square Inches to Square Meters Calculator,50.0,Conversion,area,/sq-inches-to-sq-meters-calculator/,Convert square inches to square meters with a direct unit conversion factor.,,,
P3,Square Kilometers to Square Miles Calculator,50.0,Conversion,area,/sq-kilometers-to-sq-miles-calculator/,Convert square kilometers to square miles with a direct unit conversion factor.,,,
P3,Square Meters to Acres Calculator,50.0,Conversion,area,/sq-meters-to-acres-calculator/,Convert square meters to acres with a direct unit conversion factor.,,,
P3,Square Meters to Square Feet Calculator,50.0,Conversion,area,/sq-meters-to-sq-feet-calculator/,Convert square meters to square feet with a direct unit conversion factor.,低,,
P3,Square Meters to Square Kilometers Calculator,50.0,Conversion,area,/sq-meters-to-sq-kilometers-calculator/,Convert square meters to square kilometers with a direct unit conversion factor.,,,
P3,Square Miles to Square Kilometers Calculator,50.0,Conversion,area,/sq-miles-to-sq-kilometers-calculator/,Convert square miles to square kilometers with a direct unit conversion factor.,低,,
P3,Square Yards to Square Feet Calculator,50.0,Conversion,area,/sq-yards-to-sq-feet-calculator/,Convert square yards to square feet with a direct unit conversion factor.,,,
P3,Stones to Kilograms Calculator,50.0,Conversion,weight,/stones-to-kilograms-calculator/,Convert stones to kilograms with a direct unit conversion factor.,,,
P3,Stones to Pounds Calculator,50.0,Conversion,weight,/stones-to-pounds-calculator/,Convert stones to pounds with a direct unit conversion factor.,,,
P3,Teaspoons to Tablespoons Calculator,50.0,Conversion,volume,/teaspoons-to-tablespoons-calculator/,Convert teaspoons to tablespoons with a direct unit conversion factor.,,,
P3,Troy Ounces to Grams Calculator,50.0,Conversion,weight,/troy-ounces-to-grams-calculator/,Convert troy ounces to grams with a direct unit conversion factor.,,,
P3,Watts to Kilowatts Calculator,50.0,Conversion,power,/watts-to-kilowatts-calculator/,Convert watts to kilowatts with a direct unit conversion factor.,,,
P3,Yards to Feet Calculator,50.0,Conversion,length,/yards-to-feet-calculator/,Convert yards to feet with a direct unit conversion factor.,,,
P3,Yards to Inches Calculator,50.0,Conversion,length,/yards-to-inches-calculator/,Convert yards to inches with a direct unit conversion factor.,,,
P3,Yards to Meters Calculator,50.0,Conversion,length,/yards-to-meters-calculator/,Convert yards to meters with a direct unit conversion factor.,低,,
P3,Gallons to Cups Calculator,50.0,Cooking,kitchen volume,/kitchen-volume-gallons-to-cups-calculator/,Convert gallons to cups with a direct unit conversion factor.,,,
P3,Gallons to Liters Calculator,50.0,Cooking,kitchen volume,/kitchen-volume-gallons-to-liters-calculator/,Convert gallons to liters with a direct unit conversion factor.,低,,
P3,Gallons to Quarts Calculator,50.0,Cooking,kitchen volume,/kitchen-volume-gallons-to-quarts-calculator/,Convert gallons to quarts with a direct unit conversion factor.,,,
P3,Liters to Gallons Calculator,50.0,Cooking,kitchen volume,/kitchen-volume-liters-to-gallons-calculator/,Convert liters to gallons with a direct unit conversion factor.,低,,
P3,Liters to Milliliters Calculator,50.0,Cooking,kitchen volume,/kitchen-volume-liters-to-milliliters-calculator/,Convert liters to milliliters with a direct unit conversion factor.,,,
P3,Milliliters to Liters Calculator,50.0,Cooking,kitchen volume,/kitchen-volume-milliliters-to-liters-calculator/,Convert milliliters to liters with a direct unit conversion factor.,低,,
P3,Quarts to Cups Calculator,50.0,Cooking,kitchen volume,/kitchen-volume-quarts-to-cups-calculator/,Convert quarts to cups with a direct unit conversion factor.,,,
P3,Quarts to Liters Calculator,50.0,Cooking,kitchen volume,/kitchen-volume-quarts-to-liters-calculator/,Convert quarts to liters with a direct unit conversion factor.,,,
P3,Teaspoons to Tablespoons Calculator,50.0,Cooking,kitchen volume,/kitchen-volume-teaspoons-to-tablespoons-calculator/,Convert teaspoons to tablespoons with a direct unit conversion factor.,,,
P3,Amps to Watts Calculator,50.0,Electrical,Power Conversion,/amps-to-watts-calculator/,Convert amps and volts to watts for a simple DC or resistive single-phase calculation.,低,,
P3,Breaker Size Calculator,50.0,Electrical,Wire & Breakers,/breaker-size-calculator/,Estimate a minimum breaker size for a continuous load using a 125% planning factor.,低,,
P3,Electrical Load Calculator,50.0,Electrical,Load & Voltage Drop,/electrical-load-calculator/,"Estimate current from total watts and voltage, with an optional continuous-load planning factor.",,,
P3,Voltage Drop Calculator,50.0,Electrical,Load & Voltage Drop,/voltage-drop-calculator/,"Estimate DC or single-phase voltage drop using conductor resistance, current and one-way length.",低,,
P3,Watts to Amps Calculator,50.0,Electrical,Power Conversion,/watts-to-amps-calculator/,Convert watts and volts to amps for a simple DC or resistive single-phase calculation.,低,,
P3,Wire Size Calculator,50.0,Electrical,Wire & Breakers,/wire-size-calculator/,Suggest a basic copper wire size from current using a simplified reference ampacity table.,低,,
P3,Discount Calculator,50.0,Financial,Salary & Discounts,/discount-calculator/,Calculate final sale price and savings after a percentage discount.,低,,
P3,Loan Payment Calculator,50.0,Financial,Loans,/loan-payment-calculator/,Calculate the monthly payment and total interest for a fixed-rate amortizing loan.,中,0.7,1.77
P3,Salary Increase Calculator,50.0,Financial,Salary & Discounts,/salary-increase-calculator/,Calculate a new salary and annual increase from a percentage raise.,低,,
P3,Centimeters to Feet Calculator,50.0,Health,body height,/body-height-centimeters-to-feet-calculator/,Convert centimeters to feet with a direct unit conversion factor.,低,,
P3,Centimeters to Inches Calculator,50.0,Health,body height,/body-height-centimeters-to-inches-calculator/,Convert centimeters to inches with a direct unit conversion factor.,低,,
P3,Centimeters to Kilometers Calculator,50.0,Health,body height,/body-height-centimeters-to-kilometers-calculator/,Convert centimeters to kilometers with a direct unit conversion factor.,低,,
P3,Centimeters to Meters Calculator,50.0,Health,body height,/body-height-centimeters-to-meters-calculator/,Convert centimeters to meters with a direct unit conversion factor.,低,,
P3,Centimeters to Millimeters Calculator,50.0,Health,body height,/body-height-centimeters-to-millimeters-calculator/,Convert centimeters to millimeters with a direct unit conversion factor.,低,,
P3,Decimeters to Centimeters Calculator,50.0,Health,body height,/body-height-decimeters-to-centimeters-calculator/,Convert decimeters to centimeters with a direct unit conversion factor.,,,
P3,Decimeters to Meters Calculator,50.0,Health,body height,/body-height-decimeters-to-meters-calculator/,Convert decimeters to meters with a direct unit conversion factor.,,,
P3,Feet to Centimeters Calculator,50.0,Health,body height,/body-height-feet-to-centimeters-calculator/,Convert feet to centimeters with a direct unit conversion factor.,低,,
P3,Feet to Inches Calculator,50.0,Health,body height,/body-height-feet-to-inches-calculator/,Convert feet to inches with a direct unit conversion factor.,低,,
P3,Feet to Miles Calculator,50.0,Health,body height,/body-height-feet-to-miles-calculator/,Convert feet to miles with a direct unit conversion factor.,,,
P3,Feet to Yards Calculator,50.0,Health,body height,/body-height-feet-to-yards-calculator/,Convert feet to yards with a direct unit conversion factor.,低,,
P3,Grains to Grams Calculator,50.0,Health,body weight,/body-weight-grains-to-grams-calculator/,Convert grains to grams with a direct unit conversion factor.,低,,
P3,Grains to Ounces Calculator,50.0,Health,body weight,/body-weight-grains-to-ounces-calculator/,Convert grains to ounces with a direct unit conversion factor.,,,
P3,Grams to Grains Calculator,50.0,Health,body weight,/body-weight-grams-to-grains-calculator/,Convert grams to grains with a direct unit conversion factor.,低,,
P3,Grams to Kilograms Calculator,50.0,Health,body weight,/body-weight-grams-to-kilograms-calculator/,Convert grams to kilograms with a direct unit conversion factor.,,,
P3,Grams to Micrograms Calculator,50.0,Health,body weight,/body-weight-grams-to-micrograms-calculator/,Convert grams to micrograms with a direct unit conversion factor.,低,,
P3,Grams to Milligrams Calculator,50.0,Health,body weight,/body-weight-grams-to-milligrams-calculator/,Convert grams to milligrams with a direct unit conversion factor.,低,,
P3,Grams to Ounces Calculator,50.0,Health,body weight,/body-weight-grams-to-ounces-calculator/,Convert grams to ounces with a direct unit conversion factor.,低,,
P3,Grams to Pounds Calculator,50.0,Health,body weight,/body-weight-grams-to-pounds-calculator/,Convert grams to pounds with a direct unit conversion factor.,低,,
P3,Grams to Troy Ounces Calculator,50.0,Health,body weight,/body-weight-grams-to-troy-ounces-calculator/,Convert grams to troy ounces with a direct unit conversion factor.,,,
P3,Inches to Centimeters Calculator,50.0,Health,body height,/body-height-inches-to-centimeters-calculator/,Convert inches to centimeters with a direct unit conversion factor.,低,,
P3,Inches to Meters Calculator,50.0,Health,body height,/body-height-inches-to-meters-calculator/,Convert inches to meters with a direct unit conversion factor.,低,,
P3,Inches to Miles Calculator,50.0,Health,body height,/body-height-inches-to-miles-calculator/,Convert inches to miles with a direct unit conversion factor.,,,
P3,Inches to Millimeters Calculator,50.0,Health,body height,/body-height-inches-to-millimeters-calculator/,Convert inches to millimeters with a direct unit conversion factor.,低,,
